iter	Passed	Remaining
0	182	182385
1	212	106199
2	241	80142
3	279	69488
4	291	58070
5	318	52763
6	348	49440
7	382	47369
8	427	47084
9	467	46301
10	510	45877
11	546	44986
12	581	44126
13	615	43366
14	648	42611
15	684	42116
16	719	41626
17	753	41105
18	787	40673
19	822	40314
20	859	40055
21	892	39686
22	928	39458
23	964	39234
24	998	38957
25	1033	38729
26	1066	38443
27	1100	38217
28	1135	38021
29	1170	37841
30	1206	37719
31	1241	37548
32	1281	37537
33	1318	37457
34	1353	37325
35	1391	37262
36	1428	37166
37	1467	37160
38	1482	36541
39	1519	36477
40	1553	36331
41	1590	36281
42	1625	36186
43	1657	36011
44	1689	35864
45	1725	35775
46	1757	35631
47	1789	35482
48	1802	34987
49	1835	34873
50	1870	34804
51	1904	34727
52	1937	34622
53	1972	34548
54	2005	34459
55	2039	34380
56	2073	34303
57	2107	34221
58	2139	34128
59	2174	34073
60	2207	33981
61	2241	33904
62	2273	33814
63	2306	33727
64	2339	33659
65	2372	33572
66	2404	33490
67	2437	33411
68	2471	33350
69	2506	33294
70	2541	33252
71	2577	33219
72	2610	33147
73	2642	33068
74	2674	32984
75	2707	32913
76	2740	32852
77	2773	32782
78	2804	32693
79	2838	32638
80	2871	32580
81	2893	32397
82	2925	32320
83	2953	32205
84	2989	32180
85	3024	32143
86	3059	32107
87	3094	32066
88	3126	31999
89	3159	31949
90	3192	31887
91	3227	31852
92	3265	31843
93	3298	31788
94	3332	31749
95	3367	31706
96	3402	31671
97	3436	31625
98	3468	31565
99	3502	31523
100	3536	31481
101	3572	31455
102	3604	31391
103	3637	31335
104	3671	31293
105	3703	31236
106	3736	31180
107	3768	31124
108	3800	31070
109	3837	31045
110	3873	31019
111	3907	30983
112	3943	30954
113	3979	30924
114	4014	30892
115	4050	30870
116	4086	30842
117	4120	30795
118	4152	30743
119	4186	30699
120	4220	30662
121	4254	30618
122	4288	30577
123	4321	30528
124	4355	30485
125	4390	30454
126	4422	30400
127	4456	30360
128	4493	30339
129	4528	30308
130	4562	30263
131	4597	30231
132	4631	30191
133	4666	30160
134	4703	30139
135	4739	30108
136	4774	30076
137	4807	30029
138	4840	29980
139	4874	29945
140	4907	29899
141	4939	29845
142	4972	29799
143	5006	29758
144	5055	29808
145	5087	29757
146	5121	29718
147	5157	29689
148	5194	29666
149	5229	29635
150	5269	29625
151	5306	29603
152	5343	29579
153	5379	29551
154	5415	29521
155	5452	29500
156	5491	29484
157	5529	29469
158	5566	29442
159	5602	29415
160	5640	29394
161	5681	29388
162	5722	29386
163	5759	29359
164	5794	29325
165	5830	29292
166	5865	29258
167	5904	29241
168	5939	29207
169	5975	29173
170	6008	29129
171	6042	29087
172	6075	29043
173	6112	29015
174	6146	28974
175	6180	28937
176	6216	28904
177	6252	28873
178	6287	28836
179	6329	28834
180	6365	28804
181	6401	28771
182	6437	28742
183	6475	28717
184	6512	28692
185	6550	28665
186	6587	28638
187	6627	28624
188	6683	28677
189	6735	28715
190	6788	28753
191	6865	28890
192	6921	28942
193	6970	28961
194	7021	28987
195	7070	29005
196	7124	29042
197	7173	29055
198	7221	29067
199	7268	29074
200	7314	29075
201	7360	29077
202	7406	29079
203	7454	29087
204	7498	29081
205	7544	29080
206	7617	29181
207	7674	29222
208	7722	29228
209	7766	29215
210	7810	29204
211	7853	29192
212	7899	29185
213	7943	29176
214	7990	29173
215	8032	29156
216	8076	29140
217	8120	29129
218	8170	29137
219	8214	29122
220	8257	29107
221	8302	29095
222	8347	29083
223	8393	29077
224	8442	29079
225	8492	29083
226	8537	29073
227	8581	29056
228	8624	29038
229	8669	29023
230	8711	29001
231	8752	28974
232	8794	28949
233	8833	28916
234	8872	28882
235	8912	28851
236	8949	28812
237	8987	28776
238	9027	28745
239	9063	28700
240	9098	28653
241	9135	28613
242	9172	28575
243	9212	28543
244	9252	28512
245	9291	28479
246	9331	28448
247	9372	28418
248	9411	28387
249	9451	28355
250	9492	28326
251	9532	28295
252	9573	28265
253	9615	28240
254	9660	28222
255	9702	28199
256	9745	28173
257	9787	28149
258	9828	28120
259	9870	28093
260	9911	28063
261	9952	28033
262	9992	28001
263	10033	27972
264	10078	27953
265	10120	27925
266	10166	27908
267	10208	27883
268	10250	27854
269	10299	27846
270	10342	27821
271	10384	27794
272	10429	27772
273	10475	27757
274	10523	27742
275	10568	27722
276	10621	27723
277	10681	27740
278	10736	27746
279	10792	27752
280	10846	27754
281	10903	27760
282	10963	27777
283	11017	27775
284	11069	27770
285	11119	27759
286	11169	27749
287	11221	27741
288	11269	27724
289	11317	27709
290	11368	27699
291	11418	27686
